pair_id,a,b,a_label,b_label,phi,phi_ci_low,phi_ci_high,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,prev_joint,prev_joint_ci_low,prev_joint_ci_high,prev_joint_cv,prev_joint_precision,weighted_joint_n,weighted_n_meaning,weighted_denominator_n,weighted_denominator_meaning,p_raw,p_holm,status,analytical_status,release_gate_reason
alc_alguna_vez|malestar_k10,alc_alguna_vez,malestar_k10,Alcohol,Malestar psicológico,0.0181226132638774,-0.000822025456286469,0.0370542482545417,1.1684970785927,0.987516979924071,1.38264500807333,6.20089547221431,5.7059033507288,6.73576116681824,4.22601593686612,Alta,5741420.24648531,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,0.0694402795355485,0.347201397677742,insufficient_evidence_of_association,available_recomputed_and_verified,No disponible
alc_alguna_vez|ideacion_suicida,alc_alguna_vez,ideacion_suicida,Alcohol,Ideación suicida,0.0146547306752168,-0.0041234036340261,0.0334225333986439,1.29446628598484,0.91015643069941,1.84104941637752,1.50558594472962,1.25748810144292,1.80173943167939,9.15958201242302,Alta,1394024.72830389,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,0.149618236764247,0.598472947056989,insufficient_evidence_of_association,available_recomputed_and_verified,No disponible
alc_alguna_vez|plan_suicida,alc_alguna_vez,plan_suicida,Alcohol,Plan suicida,0.0195435024077565,0.00410205564275479,0.034975631399555,1.60354071109026,1.0503927874943,2.44798216699274,0.929714503699754,0.757753575417051,1.140251043842,10.4076243829323,Alta,860824.327536468,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,0.0273214314396404,0.177230683803346,insufficient_evidence_of_association,available_recomputed_and_verified,No disponible
alc_alguna_vez|intento_suicida,alc_alguna_vez,intento_suicida,Alcohol,Intento suicida,0.00121967549429228,-0.0173305455567951,0.0197690571753342,1.03529488817825,0.608584039984148,1.76119555405353,0.48588028934558,0.354553385351183,0.665525913120912,16.0383000142792,Moderada,449877.431915601,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,0.898041334680393,0.898041334680393,insufficient_evidence_of_association,available_recomputed_and_verified,No disponible
alc_alguna_vez|violencia_cualquiera,alc_alguna_vez,violencia_cualquiera,Alcohol,Violencia recibida,0.0377342956910648,0.0184704675623856,0.0569701186356158,1.31646815831746,1.1350398596245,1.52689652012496,9.62853069524794,9.03933854702924,10.2517985555752,3.20565262801679,Alta,8915073.85107737,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,0.000282322691121823,0.0036701949845837,evidence_of_association,available_recomputed_and_verified,No disponible
alc_alguna_vez|trat_salud_mental,alc_alguna_vez,trat_salud_mental,Alcohol,Tratamiento salud mental,0.0307633246931694,0.00831492594666357,0.053180731752904,1.35372889805796,1.06866279360773,1.71483646703049,5.1357751975154,4.61959046846063,5.70618688963724,5.38027462900309,Alta,4755223.47256766,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,0.0118491375379675,0.106642237841707,insufficient_evidence_of_association,available_recomputed_and_verified,No disponible
ideacion_suicida|malestar_k10,malestar_k10,ideacion_suicida,Malestar psicológico,Ideación suicida,0.278944319954481,0.235390864769016,0.321379682949569,22.0039964093709,16.1961966492223,29.8944170949454,1.20175458357839,0.97133327553225,1.4860165829066,10.8291361384231,Alta,1112706.72572708,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,5.1909952314574e-114,1.71302842638094e-112,evidence_of_association,available_recomputed_and_verified,No disponible
malestar_k10|plan_suicida,malestar_k10,plan_suicida,Malestar psicológico,Plan suicida,0.195928839490881,0.155461197462122,0.235739972087558,16.9292385540914,11.5461612166718,24.8220263551757,0.659599044970574,0.513609496332859,0.846731837971778,12.7323296746111,Alta,610723.93952225,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,5.96530090285209e-68,1.84924327988415e-66,evidence_of_association,available_recomputed_and_verified,No disponible
intento_suicida|malestar_k10,malestar_k10,intento_suicida,Malestar psicológico,Intento suicida,0.171810586578732,0.126147813785674,0.216746832154959,23.1317167991308,13.3040215010302,40.2191414102689,0.430923273228452,0.30440718997042,0.609699721496178,17.6908856737968,Moderada,398992.632061261,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,7.37142280335681e-50,1.99028415690634e-48,evidence_of_association,available_recomputed_and_verified,No disponible
malestar_k10|violencia_cualquiera,malestar_k10,violencia_cualquiera,Malestar psicológico,Violencia recibida,0.247183070787545,0.211850668817977,0.281870160139801,5.97743951137169,4.93319531881308,7.242726225708,3.2180455032437,2.81976572874953,3.67045584315821,6.7152911538801,Alta,2979594.10688738,estimated_category_population,92590179.4702412,estimated_population_of_the_pair_analytic_universe,8.42080478119156e-72,2.6946575299813e-70,evidence_of_association,available_recomputed_and_verified,No disponible
