comparison_id,indicator_id,category,region_id,region_name,sex,age_group,earlier,later,difference_pp,difference_ci_low,difference_ci_high,difference_ci_low_point,difference_ci_high_point,se_difference_pp,se_difference_band_pp,p_value,p_adjusted,p_adjusted_point,comparability,mode,change_status,status_reason,method,family
alcohol-ever:1:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,1,Península Norte,total,12-65,alcohol-ever:2016-2017:1:12-65:total,alcohol-ever:2025:1:12-65:total,9.4,6.3761,12.4239,6.4143,12.3857,1.5234,"[1.4982, 1.5428]",0.0,1e-08,1e-08,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:3:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,3,Norcentral,total,12-65,alcohol-ever:2016-2017:3:12-65:total,alcohol-ever:2025:3:12-65:total,3.5,-0.0094,7.0094,0.0261,6.9739,1.7724,"[1.7488, 1.7906]",0.04830131,0.15185685,0.14490394,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:4:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,4,Nororiental,total,12-65,alcohol-ever:2016-2017:4:12-65:total,alcohol-ever:2025:4:12-65:total,6.3,2.6359,9.9641,2.6764,9.9236,1.8488,"[1.8205, 1.8695]",0.00065542,0.00375964,0.0032771,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:5:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,5,Occidental,total,12-65,alcohol-ever:2016-2017:5:12-65:total,alcohol-ever:2025:5:12-65:total,-6.7,-9.8862,-3.5138,-9.8577,-3.5423,1.6111,"[1.5936, 1.6257]",3.201e-05,0.00022595,0.00019206,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:6:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,6,Ciudad de México,total,12-65,alcohol-ever:2016-2017:6:12-65:total,alcohol-ever:2025:6:12-65:total,4.8,0.8444,8.7556,0.8946,8.7054,1.9926,"[1.956, 2.0182]",0.01600064,0.06955493,0.06400256,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:7:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,7,Centro,total,12-65,alcohol-ever:2016-2017:7:12-65:total,alcohol-ever:2025:7:12-65:total,6.3,3.5489,9.0511,3.5847,9.0153,1.3854,"[1.3628, 1.4036]",5.43e-06,5.024e-05,3.801e-05,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:8:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,8,Centro Sur,total,12-65,alcohol-ever:2016-2017:8:12-65:total,alcohol-ever:2025:8:12-65:total,-0.8,-3.8328,2.2328,-3.8027,2.2027,1.532,"[1.5132, 1.5474]",0.60153899,0.60515412,0.60153899,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:9:12-65:total,alc_alguna_vez,Consumo alguna vez en la vida,9,Sur,total,12-65,alcohol-ever:2016-2017:9:12-65:total,alcohol-ever:2025:9:12-65:total,-2.6,-6.4016,1.2016,-6.3746,1.1746,1.9259,"[1.9087, 1.9396]",0.177004,0.36018882,0.35400801,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:1:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,1,Península Norte,total,12-17,alcohol-ever:2016-2017:1:12-17:total,alcohol-ever:2025:1:12-17:total,0.1,-6.4859,6.6859,-6.4473,6.6473,3.3405,"[3.31, 3.3602]",0.9761187,1.0,1.0,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:3:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,3,Norcentral,total,12-17,alcohol-ever:2016-2017:3:12-17:total,alcohol-ever:2025:3:12-17:total,-13.8,-20.1594,-7.4406,-20.1199,-7.4801,3.2245,"[3.1931, 3.2446]",1.871e-05,0.00014754,0.00013099,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
