record_id,edition,indicator_id,category,geo_level,region_id,region_name,sex,age_group,estimate,ci_low,ci_high,weighted_n,weighted_n_role,weighted_denominator_n,se,cv,precision_note,source_table,source_page,source_region_label,source_url,validation_status,se_band,design_df,variance_source,variance_note,ci_method,weighted_denominator_n_role
alcohol-ever:2016-2017:0:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,nacional,0,Nacional,total,12-65,71.0,70.3,71.7,60546231,Población estimada de la categoría: consumió alcohol alguna vez,85262057.8,0.3566,0.502,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Nacional,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[0.3273, 0.3831]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:0:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,nacional,0,Nacional,total,12-65,73.7,72.7,74.7,68265422,Población estimada de la categoría: consumió alcohol alguna vez,92590179.5,0.4969,0.674,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Nacional,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:1:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,1,Península Norte,total,12-65,67.9,65.8,69.9,3412497,Población estimada de la categoría: consumió alcohol alguna vez,5028701.2,1.0444,1.538,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Península Norte,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[1.0074, 1.0726]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:1:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,1,Península Norte,total,12-65,77.3,75.1,79.4,4522315,Población estimada de la categoría: consumió alcohol alguna vez,5848990.7,1.109,1.434,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Península Norte,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:2:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,2,Noroccidental,total,12-65,69.1,67.3,70.8,4081169,Población estimada de la categoría: consumió alcohol alguna vez,5909766.4,0.8913,1.29,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Noroccidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[0.856, 0.9192]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:2:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,2,Noroccidental,total,12-65,74.5,71.9,76.9,3128698,Población estimada de la categoría: consumió alcohol alguna vez,4201713.3,1.2614,1.694,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Noroccidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:3:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,3,Norcentral,total,12-65,68.4,66.1,70.5,4041475,Población estimada de la categoría: consumió alcohol alguna vez,5910302.8,1.12,1.637,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Norcentral,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[1.0822, 1.1485]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:3:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,3,Norcentral,total,12-65,71.9,69.2,74.6,4902410,Población estimada de la categoría: consumió alcohol alguna vez,6813906.3,1.3737,1.909,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Norcentral,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:4:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,4,Nororiental,total,12-65,64.3,61.6,66.8,2807776,Población estimada de la categoría: consumió alcohol alguna vez,4369844.4,1.3244,2.06,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Nororiental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[1.2845, 1.3531]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:4:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,4,Nororiental,total,12-65,70.6,68.0,73.1,3379125,Población estimada de la categoría: consumió alcohol alguna vez,4784785.6,1.29,1.827,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Nororiental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
